term,definition
abscessus mammae,emlőtályog
abscessus mediastinalis,gátortályog
abscessus oculi,szemtályog
abscessus ovarialis,petefészek-tályog
abscessus palmaris,tenyértályog
abscessus pancreatis,hasnyálmirigy-tályog
abscessus paranephriticus,vese körüli tályog
abscessus paravaginalis,hüvely melletti tályog
abscessus parodontalis,fogágytályog
abscessus periappendicularis,féregnyúlvány körüli tályog
abscessus periarticularis,fülkörüli tályog
abscessus perirectalis,végbél körüli tályog
abscessus perirenalis,vese körüli tályog
abscessus pleurae,mellhártyatályog
abscessus pulmonis,tüdőtályog
abscessus pulpae,fogbéltályog
abscessus pyaemicus,gennyvérű tályog
abscessus radicis linguae,nyelvgyöktályog
abscessus retromammalis,emlő mögötti tályog
abscessus retroperitonealis,hashártya mögötti tályog
abscessus retropharyngealis,garat mögötti tályog
abscessus stercoralis,bélsártályog
abscessus subareolaris,emlőbimbó udvar alatti tályog
abscessus subphrenicus,rekesz alatti tályog
abscessus subungualis,köröm alatti tályog
abscessus sudoriparus,hónalj izzadságmirigyek tályoga
abscessus thoracis,mellkasi tályog
abscessus thymi,csecsemőmirigy-tályog
abscessus tubae uterinae,petevezeték-tályog
abscessus tuberculosis lumbalis,ágyéki gümőkóros tályog
abscessus tuboovarialis,petevezeték- és petefészektályog
abscessus tuboovarialis l.d.,jobb oldali petefészek és petevezeték tályog
abscessus tuboovarialis l.s.,bal oldali petefészek és petevezeték tályog
abscessus vesicae urinariae,húgyhólyag-tályog
absence,rövid ideig tartó öntudathiány
absentia,hiány
absentia cerebelli,kisagy hiánya
absentia cervicis uteri,méhnyak hiánya
absentia epileptica,rövid öntudatvesztés epilepsziánál
absentia menti,állhiány
absentia nasi,orrhiány
absinthium,üröm
absolutus,"csak a feltüntetett anyagot tartalmazó, feltétlen, teljes"
absorbefaciens,felszívódást kiváltó
absorbens,"elnyelő, felszívó"
absorbere,elnyel
"absorbere, resorbere",abszorbeál
absorptio,"abszorpció, felszívódás, megkötés"
absorptiometer,gáznak folyadékban való oldódását mérő műszer
absorptus,elnyelt
abstinentia,önmegtartóztatás
abstractio,elvonás
absurdus,abszurd
abszorpció,felszívódás
abulia,akarathiány
abulomania,kóros akaratgyengeség
abundo,túlcsordulás
abusus,"mértéktelenség, visszaélés"
acalcerosis,kalciumhiány
acalcinosis,étrendhiba okozta kalciumhiány
acalculia,számolási képtelenség
Acanth-,"Tövis, fog"
acanthoma,hámdaganat
acanthosis,tüskésedés
acanthosis nigricans,megvastagodott sötét bőr
acapnia,vér szén-dioxid tartalmának hiánya
acardiacus,szívnélküli
acariasis,orsóférgesség
acaridiasis,atkafertőzés
acarophobia,irtózás rühösségtől
acatalepsia,megértés hiánya
acatamathesia,beszédmegértés képességének hiánya
acataphasia,beszédzavar
accelerans,gyorsító
acceleratio,serkentés
accelerator,serkentő
accentuatio,hangsúlyozás
acceptor,"befogadó, elfogadó"
Accessio,roham
accessoricus,"járulékos, kiegészítő"
accessorius,adalékos
accidentalis,véletlen
accipio,fogadja el
acclimatisatio,alkalmazkodás az idegen környezethez
accomodatio,alkalmazkodás (közel- és távollátáshoz)
accretio,összenövés
accumulatio,felhalmozódás
ACE-inhibitor,ACE-gátló
acellularis,acelluláris
acephalia,fej hiánya
acephalobrachia,fej és kar hiánya
acephalopodia,fej és láb hiánya
acephalorachia,fej és gerinc hiánya
acephalus,fej nélküli
acervulus,agyhomok
acestoma,sebsarjadzás
acetabulectomia,ízvápa műtéti eltávolítása
acetabuloplastica,ízvápa plasztikai műtéte
acetabulum,"csipőízület árka, ízvápa"
aceticum,acetát
acetonaemia,acetonvérűség
acetonuria,acetonvizelés
acetum acetylsalicylicum,"acetil-szalicilsav, aspirin"
acheilia,az ajak hiánya
acheiria,kéz hiánya
acheiropodia,kéz és a láb hiánya
achillobursitis,az Achilles-ín körüli nyálkatömlő gyulladása
achillodynia,achilles-ín fájdalma
achillorrhaphia,az Achilles-ín műtéti varrata
achillotenotomia,az Achilles-ín műtéti metszése
achlorhydria,sósavelválasztás hiánya
achloropsia,zöldszíntévesztés
acholia,epehiány
acholuria,az epefesték hiánya a vizeletben
achondrogenesis,A porcfejlődés hiánya (achondrogenesis)
achondrogenesis,achondrogenézia
achrochordon,bőrfüggelék
achroma,színhiány
achromacyta,színtelen vörösvérsejt
achromasia,bőrfestékhiány
achromaticus,színtelen
achromatin,sejtmag nem festődő anyaga
achromatopsia,színvakság
achromatosis,színtelenség
achromaturia,színtelen vizelet ürítése
achromia,színhiánya
achromocythaemia,hemoglobin hiánya a vörös vérsejtekben
achromodermia,bőr színtelensége
achromotrichia,őszülés
achylia,nedvhiány
achylia pancreatica,hasnyálmirigy emésztőnedv hiánya
acid-,sav
acidaemia,vér fokozott savassága
acidaminaemia,aminosavvérűség
acidaminuria,aminosavvizelés
acidimetria,savmérés
aciditas,savasság
acidocyta,savkedvelő sejt
acidophil,savkedvelő
acidosis,Acidózis
acidosis diabetica,cukorbetegség okozta acidózis
acidosis metabolica,anyagcserezavar okozta acidózis
acidosis respiratorica,légzési acidózis
acidum,sav
acidum 4-aminobenzoicum,4-aminobenzésav
acidum aceticum concentratum,tömény ecetsav
acidum aceticum dilutum,higított ecetsav
acidum ascorbicum,C vitamin
acidum boricum,bórsav
acidum carbonicum,szénsav
acidum chromicum,krómsav
acidum citricum,citromsav
acidum cresotinicum,kresotinsav
acidum diaethylbarbituricum,dietilbarbitursav
acidum folicum,folsav
acidum glutaminicum,glutaminsav
acidum hydrobromicum,hidrogénbromid
acidum hydrochloratum,hidrogén-klorid
acidum hydrochloricum,sósav
acidum hydrochloricum concentratum purum,tiszta tömény sósav
acidum hydrochloricum crudum,nyers sósav
acidum hydrochloricum dilutum purum,tiszta higitott sósav
acidum hydrochloricum purissimum,legtisztább sósav
acidum hydrochloricum purum,tiszta sósav
acidum hydrocyanicum,hidrogén-cianid
acidum lacticum,tejsav
acidum nicotinicum,nikotinsav
acidum phosphoricum,foszforsav
acidum picricum,pikrinsav
acidum salicylicum,szalicilsav
acidum succinicum,borostyánkősav
acidum sulfuricum,kénsav
acinitis,mirigyvégkamra-gyulladás
acinus,mirigyvégkamra
acleistocardia,nyitott foramen ovale
acmaesthesia,hegyes eszköz érzékelése a bőrön
acme,csúcspont
acne,"a szőrtüszők és a faggyúmirigyek krónikus gyulladása (pattanásos bőrt eredményez); pattanás, mitteszer"
acne conglobata,hegesedő egybeolvadó acne
acne indurata,csomós akne
acne occupationalis,foglalkozásból eredő akne
acne praemenstrualis,menstruáció előtt jelentkező acne
acne rosacea,borvirág
acne vulgaris,közönséges akne
acnegen,aknét előidéző
acneiformis,mitesszerszerű
acognosia,gyógyszertan
acomus,kopasz
aconuresis,önkéntelen vizeletürítés
acoprosis,bélsár hiánya a bélben
acorea,pupilla hiánya
acoria,farkaséhség
acorus calamus,orvosi kálmos
acousma,hallási hallucináció
acquisitus,szerzett
acr-,"Csúcsos, kiálló"
acra,test kiálló részei
acralis,kiálló
acrania,koponya hiánya
acraturesis,vizelési zavar
acraturia,vizeletcsepegés
acroanaesthesia,végtagok érzéktelensége
acroataxia,végtagok koordinációs zavara
acrocephalia,fej formájának csúcsossága
acrochordon,bőrfüggelék
acrocyanosis,kiálló testrészek szederjessége
acrodermatitis,kiálló testrészek bőrgyulladása
acrodermatitis enteropathica,"cink hiány, Danbolt-Closs szindróma, Brandt szindróma"
acrodermatitis papulosa infantum,Gianotti Crosti szindróma
acrohyperhidrosis,fokozott végtagizzadás
acrohypothermia,végtagok hidegsége
acromastitis,emlőbimbó gyulladása
acromegalia,kiálló testrészek megnagyobbodása
acromelalgia,bőrpírral járó végtagfájdalom
acromialis,vállcsúcshoz tartozó
acromicria,végtag rendellenes kis mérete
acromio-,vállcsúcs-
acromioclavicularis,vállcsúcshoz és a kulcscsonthoz tartozó
acromiocoracoidealis,vállcsúcshoz és a hollócsőrnyúlványhoz tartozó
acromiohumeralis,vállcsúcshoz és a felkarcsonthoz tartozó
acromion,vállcsúcs
acromioscapularis,vállcsúcshoz és a lapockához tartozó
acroneurosis,végtagok érbeidegzési zavara
acroparaesthesia,végtagoknak álérzékelése
acropetalis,csúcs felé erősödő
acrophobia,magasságiszony
acroposthitis,fitymagyulladás
acrostealgia,végtagok csontvégi fájdalma
acrum,akrális testrészek
actaea,fürtös takta
actin-,sugár-
actiniformis,sugár alakú
actinobacillus mallei,malleusbaktérium
actinocardiogramm,röntgenkép a szívszéli mozgásról
actinocutitis,sugárzás okozta bőrgyulladás
actinogen,sugárzó anyag
actinographia,röntgenográfia
actinologia,sugártan
actinomyces,sugárgomba
actinomycetales,sugárgombafélék
actinomycoma,sugárgomba okozta daganat
actinomycosis abdominalis,hasüregi sugárgombabetegség
actinomycosis cervicofacialis,nyak és arc sugárgombabetegsége
actinomycosis pulmonalis,tüdő-sugárgombabetegség
actinoscopia,röntgensugaras vizsgálat
actinotherapia,sugárkezelés
activatio,aktiváció
activitas,tevékenység
activitates humanae,emberi tevékenység
acuitas,élesség
acuminatus,hegyes
acupunctura,gyógyítás tűszúrásokkal
acus,tű
acusectio,elektrosebészet tűvel
acusticus,hallással kapcsolatos
acutus,"akut, heveny"
acyanoblepsia,kékszín-tévesztés
acyanoticus,nem szederjes
acystia,húgyhólyag hiánya
ad-,"-hoz, -hez, -höz, oda"
ad capsulas gelatinosas,zselatintokokba
ad m. m.,az orvos kezébe
ad manus medici,orvos kezébe
ad usum externum,külső használatra
adamantinocarcinoma,felhámdaganat
adamantinoma,zománcdaganat
adamantinus,acélkemény
adamnatina,fogzománc
adaptatio,"adaptáció, alkalmazkodás"
adaptatio functionalis,működési adaptáció
adde,figyelemhiányos rendellenesség
addictio,függőség
additio,hozzáadás
adducens,közelítő
adductio,közelítés
adductor,közelítő
adductor brevis,rövid combközelítő izom
adductor longus,hosszú combközelítő izom
adductor magnus,nagy combközelítő izom
adductor pollicis,hüvelykujj-közelítő izom
adenectomia,orrmandula műtét
adenemphraxis,mirigy kivezetőcsövének elzáródása
adeniform,mirigyalakú
adenitis,mirigygyulladás
adeno-,mirigy-
adenoacanthoma,pikkelyes mirigyhámrák
adenoangiosarcoma,mirigyes sarcoma
adenocarcinoma,mirigyrák
adenocarcinoma cribrosum,szitaszerű mirigyrák
adenocarcinoma muciporum,nyákot termelő mirigyrák
adenocarcinoma papillare,bolyhozott mirigyrák
adenocarcinoma pulmonis,tüdő mirigyrák
adenocarcinoma trabeculare,hengersejtes mirigyrák
adenocarcinoma ventriculi,a gyomor mirigyekből kiinduló rákja
adenohypophysis,agyalapi mirigy elülső lebenye
adenoid,garatmandula
adenoideae,orrmandulák
adenolipoma,zsírszövet-mirigydaganat
adenolipomatosis,kóros zsírlerakódás
adenoma,jóindulatú mirigydaganat
adenoma glandulae parathyreoideae,mellékpajzsmirigy-daganat
adenoma sebaceum,faggyúmirigydaganat
adenoma sudoriparum,izzadságmirigy-daganat
adenomalacia,mirigylágyulás
adenomatosis,töbszörös mirigytaganat
adenomegalia,mirigymegnagyobbodás
adenomyoma,mirigy- és izomszövetből kiinduló daganat
adenomyosis,jóindulatú méh-izomszövetdaganat
adenomyosis externa,külső jóindulatú méh-izomszövetdaganat
adenomyosis uteri,méhizomzatban található jóindulatú méh-izomszövetdaganat
adenopathia,mirigybántalom
adenopharyngitis,garatmandula- és garatgyulladás
adenosarcoma,szarkómás mirigydaganat
adenotom,mirigymetsző eszköz
adenotomia,mirigy sebészeti bemetszése
adenotonsillectomia,garatmandulák sebészeti kimetszése
adeps,"zsír, zsírszövet"
adeps abdominalis,hasi zsír
adeps fuscus,barna zsír
adeps intraabdominalis,zsír a hasüregben
adeps renis,vese zsírtokja
adeps subcutaneus,bőralatti zsír
adexa uteri,méhfüggelékek
adhaerere,odaragad
adhaesio,tapadás
adhaesio intestinalis,bélösszenövés
Adhaesio linguae /ankyloglossia,Nyelvlenövés
adhaesio pleuralis,mellhártya-összenövés
adhaesio vesicae felleae,epehólyag-összenövés
adhaesio vesicae urinariae,húgyhólyag-összenövés
adhaesiones cervicis uteri,méhnyak-összenövések
adhaesiones pelvis minoris,kismedencei-összenövések
adhaesiones peritoneales,hashártya-összenövések
adhaesiones peritoneales post partum,szülés utáni hashártya-összenövések
adhaesivitas,rátapadás
adhaesivus,rögzítő
adhaesus,hozzátapadt
adhesio,letapadás
adiaphan,nem átlátszó
adiaphoresis,hiányos verejtékezés
adipectomia,zsírszövet műtéti eltávolítása
adipo-,zsír-
adipocera,hullaviasz
adipocyti,zsírsejtek
adipogen,kövérséget kiváltó
adipohepaticus,májelzsírosodással kapcsolatos
adipokele,zsírsérv
adipoma,zsírdaganat
adiponecrosis,zsírszövetelhalás
adiposis,elhízás
adipositas,elhízottság
adipositas cordis,szívelhájasodás
adipositas dolorosa,fájó zsírcsomók
adipositas hypothalamica,hipotalamusz okozta elhájasodás
adipositas universalis,zsírlerakódás az egész testben
adipositis,zsírszövetgyulladás
adiposuria,zsírvizelés
adiposus,zsír
adipsia,szomjúságérzet hiánya
aditus,belépés
aditus,"bemenet, nyílás"
aditus laryngis,gégebemenet
aditus orbitalis,szemgödörbemenet
adjuváns,kiegészítő
adlatus,hozott
admixtio,hozzávaló
adnatus,hozzánőtt
adnexa,függelékek
adnexa oculi,szem függesztő készüléke
adnexa uteri,petefészek
adnexectomia,petefészek műtéti eltávolítása
adnexitis,petefészek gyulladása
adnexitis purulenta,petefészek gennyes gyulladása
adnexopexia,petefészek műtéti rögzítése
adnexum,"petefészek, függelék"
adolescentia,serdülőkor
adolfactorius,szaglólebennyel kapcsolatos
adren-,mellékvese-
adrenalectomia,mellékvese kimetszése
adrenalinaemia,adrenalinvérűség
adrenalinuria,adrenalinvizelés
adrenális hiperplázia,mellékvese túltengés
adrenalitis,mellékvese-gyulladás
adrenalopathia,mellékvese-bántalom
adrenitis,mellékvese-gyulladás
adreno-,mellékvese-
adrenocorticalis,mellékvesekéreggel kapcsolatos
adrenocorticotrop,mellékvesekérget stimuláló hormon
adrenogen,mellékvese eredetű
adrenogram,mellékvese röntgenkép
adrenomegalia,mellékvesemegnagyobbodás
adrenopathia,mellékvesebántalom
adultus,felnőtt
adv.,ellen
adventitia,külső réteg
adversum,"ellen, nemkívánatos"
aeger,"betegségben szenved, gyengélkedő, levert"
aegrotus,"beteg, betegségben szenved"
aequaelis,"egyenlő, egyforma"
aequalis,"azonos, egyforma"
aequator lentis,szemlencsét kettéválasztó sík
aequivalentia,"ekvivalencia, egyenértékűség"
aer,levegő
aer nas,orrpermet
aerodispersio nasalis,orrspray
aerohydrotherapia,gyógyítás levegővel és vízzel
aerokele,levegősérv
aeropathia,légnyomásváltozás okozta betegség
aerophagia,levegőnyelés
aerophobia,beteges iszony levegőtől
aerothermoterapia,gyógyítás meleg levegővel
aerotonometer,vérgázok nyomását mérő készülék
aetas,egy élethossz
aethylismus,alkohol fogyasztás
aethylismus chronica,krónikus alkoholizmus
aetiologia,kóroktan
aetologia,viselkedéstan
affectio,"állapot, baj, betegség, megbetegedés, rendellenesség, hajlam, kór"
"affectio, maladie",bántalom
affectivitas,indulat
affectus,érintett
afferens,"odavivő, hozzávezető, odavivő"
afocalis,fókusz nélküli
agammaglobulinaemia,Gammaglobulin-hiány a vérben
aganglionosis,ganglionsejtek hiánya
aganglionosis,parasympathicus ganglionsejtek hiánya
agenesia,"kifejlődés hiánya, szerv hiánya, fejlődési hiány"
agenesia auris,fülhiány
agenesia cerebelli,kisagy kifejlődésének hiánya
agenesia ciliorum,Szempilla kifejlődésének hiánya
agenesia dentis,Fogcsíra nélküli foghiány
agenesia glandulae lacrimales,könnymirigy hiánya
agenesia hepatic,máj kifejlődésének hiánya
agenesia lobuli auriculae,fülcimpa kifejlődésének hiánya
agenesia tubae Eustachii,fülkürt kifejlődésének hiánya
agenesia vesicae urinariae,húgyhólyag kifejlődésének hiánya
agenia,állkapocs kifejlődésének hiánya
agenitalismus,genitáliák hiánya
agens,"hatóanyag, hatóerő, tényező,"
agentia,hatóanyagok
agger,"kiemelkedés, töltés"
agglutinatio,összecsapzódás
agglutinin,agglutináló ellenanyag
agglutinogen,agglutinogén
agglutitio,nyelésképtelenség
aggravatio,"súlyosbodás, megnehezítés"
aggregatio,gyülem
aggregatus,"csoportos, összetett"
agita,rázkódás
aglomerularis,glomerulus nélküli
aglossia,nyelv hiánya
agmatologia,csonttöréstan
agonia,haldoklás
agonisare,haldoklik
"agonisatus, moribundus",haldokló
agoraphobia,tömegiszony
agranulocyta,szemcsétlen fehérvérsejt
agranulocytosis,szemcsétlen fehérvérsejtes
agranulosis,fehérvérsejt hiánya
agravatio,rosszabbodás
agressio,agresszió
agyria,agykéregtekervények hiánya
akathisia,"mozgáskényszer, nyughatatlanság"
akut,"gyorsan kezdődő, gyorsan zajló folyamat"
ala nasi,orrcimpa
ala ossis ilii,csípőlapát
alae nasi,orrszárnyak
alae osi ilei,a csípőcsont szárnyai
alalia,beszédképtelenség
alaris,szárnyazott
albicans,fehéres
albinismus,"albinizmus, pigmenthiány"
albinismus circumscriptus,Színtelen körülírt terület
albinismus totalis,egész test pigmenthiánya
albumin,kötő- és szállító fehérjéje
albuminuria spuris,Nem veséből eredő fehérjevizelés
albumose,Fehérje-emésztéstermék
albus,fehér
alcohol absolutus,96%-os szesz
alcoholicus,alkoholista
aldolase,enzimek egy fajtája
aldosteron,"a mellékvesekéreg hormonja, mely a só-víz háztartást és a vérnyomást befolyásolja"
aldoszteron,"a mellékvesekéreg hormonja, mely a só-víz háztartást és a vérnyomást befolyásolja"
alexia,szóvakság
alfa-fetoprotein (AFP),"a magzat által termelt fehérje, amely bekerül a magzatvízbe. Kóros AFP szintet gerinc- vagy agyfejlődési rendellenesség, ikerterhesség, esetleg elszámolt terhességi kor okozhat"
"algesia, -algia",Fájdalom
algidus,hideg
algo-,fájdalom
algodiaphoria,fájdalomérzés hiánya
algodystrophia,Sudeck betegség
algomenorrhoea,fájdalmas menstruáció
algor,hidegség
alibatio,fehérítés
alienatio,elidegenedés érzése
alienus,idegen
alimentatio rectalis,táplálás végbélen keresztül
alimentum,"étel, élelmiszer, táplálék"
aliquorrhoea,agyfolyadék csökkenése
aliquot,néhány
"-alis, e",valamihez tartozó
allergen,allergiát kiváltó anyag
allergia,"allergia, túlérzékenység"
allergica,allergia elleni szerek
allergicum,allergia elleni szer
allergicus,allergiás
allergodermathosis,allergiás bőrbántalom
allergologia,"allergiatan, allergológia"
allo-,"idegen, más normálistól eltérő"
allopathia,hagyományos (nem homeopátiás) orvoslás
allotypus,allotípus
alopecia,kopaszság
alopecia adnata,veleszületett kopaszság
alopecia areata,foltos kopaszság
alopecia capitis totalis,teljes kopaszság
alopecia circumscripta,körülírt kopaszság
alopecia congenitalis,veleszületett kopaszság
alopecia follicularis,hajtüszőgyulladás okozta kopaszodás
alopecia furfuracea,korpásodás okozta kopaszodás
alopecia neurotica,idegrendszeri betegség okozta hajhullás
alopecia seborrhoica,seborrhoea okozta kopaszodás
alopecia universalis,teljes haj és szőrzetvesztés
alpinia officinarum,kínai gyömbér
alt. die,minden második nap
alteratio,"elváltozás, változás"
alternus die,minden második nap
alumen,"kénsavas kalium-aluminium, timsó"
alumen ammoniacale,ammoniak-timsó
alumen ustum,égetett timsó
alumina hydrica,aluminiumhydroxyd
aluminium aceticum solutum,oldott ecetsavas timany
aluminium chloratum,timanyhalvag
aluminium sulfuricum,kénsavas timany
alveolaris,"alveoláris, hólyagos, alveolussal kapcsolatos"
alveoli,hólyagocskák
alveoli dentales,fogmeder
alveolus,"hólyag, tüdőléghólyagocska, fogmeder"
alveolus dentis,fogágy
alveolus pulmonis,tüdő léghólyagocska
amanita phalloides,gyilkos galóca
amarus,keserű
Amaurosis,Vakság mindkét szemen
amaurosis fugax,átmeneti vakság
amaurosis oculi utriusque,vakság mindkét szemre
amaurosis solum oculi uni,vakság egy szemre
amb-,ellentétes-
ambidexter,mindkét kezét ügyesen használó
ambiguus,"kétértelmű, iker"
ambitendencia,ellentétes szándékok
ambivalencia,két ellentétes érzelem
amblyopia,látásgyengülés
ambra,szürke ámbra
ambulantia,járóbeteg-rendelés
amelia,végtaghiány
amelogenesis,zománcképződés
Amelogenesis imperfecta,Nem v. Csak vékony rétegben fejlődött ki a fogzománc
ameloma,zománccsepp
amenorrhoe,a menstruáció hiánya
amenorrhoea lactationis,szoptatás okozta vérzéshiány
amenorrhoea post partum,szülést követő vérzéshiány
amentia,tudatzavar
americanus,amerikai
ametropia,szem hibás fénytörése
amidazophenum,lázcsillapító
ammeos visnagae fructus,mediterrán gyógynövény
ammonia,ammoniaoldat
ammoniacum,ammoniakgyanta
ammonium aceticum solutum,ecetsavas ammonium-oldat
ammonium benzoicum,benzoesavas ammoniak
ammonium bromatum,ammonbromid
ammonium carbonicum,szénsavas ammonium
ammonium chloratum,szalmiáksó
ammonium iodatum,ammoniodid
ammonium jodatum,jódammónia
ammonium muriaticum,"klórammónia, szalmiáksó"
ammonium nitricum,légenysavas ammon
ammonium phosphoricum,ammónium-foszfát
ammonium sulfuricum,kénsavas ammónia
ammónium-bromid,kristályos por
amnesia,"amnézia, emlékezetkiesés"
amniális,amniotikus
amniocentesis,"AC, amniocentézis, magzatburok csapolás, magzatvíz csapolás"
amniocentesis transabdominalis,magzatburok-csapolás hasfalon keresztül
amniocentesis transvaginalis,hüvelyen keresztül végzett magzatvíz vétel
amniocentézis,"magzatvízvétel (diagnosztikai céllal, kimutathatóak bizonyos genetikai rendellenességek, de az eljárás a spontán vetélés kockázatát hordozza magában)"
amniographia,magzatburok röntgenes ábrázolása
amnion,belső magzatburok
amnionitis,belső magzatburok gyulladása
amniorrhexis,burokrepedés
amniorrhexis,magzatburok-repedés
amnioscopia,"amnioszkópia, magzatburok optikus vizsgálata"
amnioscopia,magzatburok optikus vizsgálata
amnioticus,magzatvízzel kapcsolatos
amniotomia,"burokmetszés, magzatburok megnyitása"
Amoeba dysenteria,Amoeba dysenteria
amorph,"alaktalan, torz"
amotio retinae,"ideghártyaleválás, retinaleválás"
amp.,ampulla
amphetamin,amfetamin
amphiarthrosis,feszes ízület
amplitudo,Harmonikus rezgőmozgás
amplus,bő
ampulla canaliculi lacrimalis,könnyvezeték tágult szakasza
ampulla recti,végbél alsó részének tágulata
ampulla tubae,kürttölcsér
ampulla Vateri,Vater-papilla
ampullaris,tágult résszel kapcsolatos
ampullaris mucosa,tágult rész nyálkahártyája
amputare,"eltávolít, amputáció, csonkolás, testrész műtéti eltávolítása"
amputatio mammae,emlő műtéti eltávolítása
amputatio pulpae,fogcsonkolás
amputatio spontanea,műtéti nélkül testrészleválás
amputatio uteri supravaginalis,hüvely feletti méh eltávolítása
amusia,zenei képesség hiánya
amyelia,gerincvelő hiánya
amygdala,"Az agy egyik neuroncsoportja, amely az érzelmi reakciók feldolgozásában és raktározásában játszik szerepet."
amygdalitis,mandulagyulladás
amygdaloid,mandulaszerű
amygdalus,mandula
amygdolith,mandulakő
amyotaxia,izommrendellenesség okozta ataxia
amyotrophia,izomsorvadás
anabiosis,anabiózis
anabolicus,felépítő
anabolismus,építő anyagcsere
anaciditas,gyomornedv savtalansága
anacusis,süketség
anadipsia,erős szomjúság
anaemia,vérszegénység
anaemia haemolytica congenita,vörösvérsejtpusztulás okozta veleszuletett vérszegénység
anaemia haemorrhagica,vérveszteség okozta vérszegénység
anaemia neonatorum,csecsemők vérszegénysége
anaemia perniciosa,vészes vérszegénység
anaemia posthaemorrhagica,vérvesztést okozta vérszegénység
anaemia sideropenica,vashiány okozta vérszegénység
anaerob,levegő kizárásával végbemenő
anaerobiosis,élet légmentes környezetben
anaerostat,levegő nélküli
anaesthesia,érzéstelenítés
anaesthesia basalis,alapérzéstelenítés
anaesthesia caudalis,kaudális anesztézia (gerincvelőbe jutttatott érzéstelenítés) epidurális
anaesthesia centralis,altatás
anaesthesia dolorosa,érzéstelenítés utáni fájdalom
anaesthesia epiduralis,epidurális (gerincvelőbe jutttatott) érzéstelenítés
anaesthesia facialis,Arc érzéstelensége
anaesthesia gustatoria,ízérzéstelenség
anaesthesia intraneuralis,idegérzéstelenítés
anaesthesia intratrachealis,Altatás légcsőn keresztül
anaesthesia localis,helyi érzéstelenítés
anaesthesia lumbalis,ágyéki érzéstelenítés
